MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,gate,calibrate,alpha,alpha_val_mae
7.849063901254201,11.222117273570214,8.614380402772262,8.021032985657465,2.4343130740093897,M7_FULL_REVIN_SIM_CAL,cofactor_6424,30,42,revin,True,False,True,1.25,8.742341895017692
1.1461628577087237,1.475805441555573,19.00189722576061,0.9297475792423098,1.7412420101223844,M1_ANCHOR,cofactor_6425,3,42,anchor,False,False,False,1.0,
1.0402178799308657,1.3467174455007576,16.59752806108178,0.8553915204314686,1.7933005839597944,M3_ANCHOR_REVIN,cofactor_6425,3,42,revin,False,False,False,1.0,
1.1053004434172211,1.424765702172285,18.10276947262253,0.8990988435653559,1.751132078408385,M7_FULL_REVIN_SIM_CAL,cofactor_6425,3,42,revin,True,False,True,1.25,1.1585598478659178
1.9485082956165583,2.6342254116418804,30.504721610425793,1.7728193738673457,1.7965709978529754,M1_ANCHOR,cofactor_6425,7,42,anchor,False,False,False,1.0,
1.0770776322397855,1.3901147636647393,17.4275041617871,0.8788790650531786,1.771278572385392,M3_ANCHOR_REVIN,cofactor_6425,7,42,revin,False,False,False,1.0,
1.0873150962929228,1.408369856764751,17.40058242928372,0.8951877290426489,1.782880787199176,M7_FULL_REVIN_SIM_CAL,cofactor_6425,7,42,revin,True,False,True,1.25,1.1461584419369217
1.710290037203022,2.1461298923316483,26.97760261088374,1.2965381889134788,1.6174041038850897,M1_ANCHOR,cofactor_6425,14,42,anchor,False,False,False,1.0,
1.0834095992179664,1.4002252287763124,17.532622584362308,0.8871087300100706,1.7718391653347292,M3_ANCHOR_REVIN,cofactor_6425,14,42,revin,False,False,False,1.0,
1.0965302368749843,1.4072273741435364,17.858953576141733,0.882052530578226,1.7498453636139126,M7_FULL_REVIN_SIM_CAL,cofactor_6425,14,42,revin,True,False,True,1.25,1.1529305391386033
1.185707298273587,1.5043418334357461,19.97013343746099,0.9258832165350265,2.0409913273748197,M1_ANCHOR,cofactor_6425,30,42,anchor,False,False,False,1.0,
1.060936879487171,1.3741253801309294,17.131221867007035,0.873348586866262,1.8025670655912174,M3_ANCHOR_REVIN,cofactor_6425,30,42,revin,False,False,False,1.0,
1.0422722195898626,1.352825871954465,16.714210620515182,0.8625010970776377,1.7970949701461716,M7_FULL_REVIN_SIM_CAL,cofactor_6425,30,42,revin,True,False,True,1.25,1.102445413285367
1.0187900005176262,1.784247108591698,27.12810017065499,1.4648934359976022,5.199518521176867,M1_ANCHOR,cofactor_6426,3,42,anchor,False,False,False,1.0,
0.9284744850837889,1.570198215289156,25.41422986882404,1.2663679620681008,7.819228570380685,M3_ANCHOR_REVIN,cofactor_6426,3,42,revin,False,False,False,1.0,
1.0342492631558657,1.7452954269241348,27.495936158283296,1.4059403931544492,5.106178144504905,M7_FULL_REVIN_SIM_CAL,cofactor_6426,3,42,revin,True,False,True,1.25,1.0246543760652944
1.1191248583081654,1.9818842386520439,29.57275123695816,1.6357899823143902,4.43967881738188,M1_ANCHOR,cofactor_6426,7,42,anchor,False,False,False,1.0,
1.0024655645848197,1.7526205023684462,26.660316951337492,1.4377197891763902,7.593322728062719,M3_ANCHOR_REVIN,cofactor_6426,7,42,revin,False,False,False,1.0,
1.0742097276931304,1.8681404777060286,28.228423507579812,1.5285148831394335,4.711177875020751,M7_FULL_REVIN_SIM_CAL,cofactor_6426,7,42,revin,True,False,True,1.25,1.0589743048107376
1.0776708626342082,1.8878017939905134,29.027343706840586,1.5500858371100994,4.615093804987547,M1_ANCHOR,cofactor_6426,14,42,anchor,False,False,False,1.0,
1.014780326066895,1.7854520080573897,26.9500107673798,1.4691390849286838,8.575997434216061,M3_ANCHOR_REVIN,cofactor_6426,14,42,revin,False,False,False,1.0,
0.956069102971738,1.5714707240406207,26.276669408921066,1.2472671979139383,5.145948678012144,M7_FULL_REVIN_SIM_CAL,cofactor_6426,14,42,revin,True,False,True,1.25,0.9631914939527336
1.0243687802881565,1.718633372617901,28.398158024350494,1.3800879430533255,4.758497847801061,M1_ANCHOR,cofactor_6426,30,42,anchor,False,False,False,1.0,
0.9768438026722512,1.6792852753250769,26.663885430956984,1.3660318950454646,8.626513189734947,M3_ANCHOR_REVIN,cofactor_6426,30,42,revin,False,False,False,1.0,
0.9324604536726686,1.5242143757632387,26.47221441071569,1.2058008613938254,4.733567141698796,M7_FULL_REVIN_SIM_CAL,cofactor_6426,30,42,revin,True,False,True,1.25,0.9171679432579783
1.219365220671556,1.7257986943310122,21.779941948670682,1.2213757718203142,2.5898215869395687,M1_ANCHOR,cofactor_6428,3,42,anchor,False,False,False,1.0,
1.111666815749776,1.5855954598626438,19.301185801183923,1.130710517507822,2.905713666003584,M3_ANCHOR_REVIN,cofactor_6428,3,42,revin,False,False,False,1.0,
1.2860080758805708,1.8356095037611864,22.39280581754304,1.3099271354048823,3.494998044974145,M7_FULL_REVIN_SIM_CAL,cofactor_6428,3,42,revin,True,False,True,0.75,1.1547978482841414
1.243248296627833,1.772256037938845,22.079464802710334,1.2631192558548698,2.518745786716168,M1_ANCHOR,cofactor_6428,7,42,anchor,False,False,False,1.0,
1.1521835896171757,1.6436847260124658,20.120584942257068,1.17234107904308,3.4330810472478728,M3_ANCHOR_REVIN,cofactor_6428,7,42,revin,False,False,False,1.0,
1.2601184246173252,1.7834438952581224,22.018258297859887,1.2621483369077553,2.935969259335784,M7_FULL_REVIN_SIM_CAL,cofactor_6428,7,42,revin,True,False,True,1.0,1.1350130926462945
1.238251203677726,1.7599047144512037,22.134380786886627,1.250695358560065,2.5761753457790326,M1_ANCHOR,cofactor_6428,14,42,anchor,False,False,False,1.0,
1.15277929570242,1.6461513235348073,20.279354820853833,1.1752132838515241,3.6092939394600934,M3_ANCHOR_REVIN,cofactor_6428,14,42,revin,False,False,False,1.0,
1.1822200298935133,1.6709361362999338,21.03796547863352,1.1809308317296487,2.8356195386772987,M7_FULL_REVIN_SIM_CAL,cofactor_6428,14,42,revin,True,False,True,1.25,1.080282486786814
1.2104671892013998,1.6746660718475816,21.8528643470895,1.1573596784020495,2.3907916332701578,M1_ANCHOR,cofactor_6428,30,42,anchor,False,False,False,1.0,
