MAE,RMSE,sMAPE,sigma_err,sigma_score,method,target,k,seed,mode,similarity,similarity_kind,msr,gate,calibrate,alpha,alpha_val_mae
5.00784476831438,6.55490756472623,6.698459908976338,4.229748656293315,1.8521114794563,M11_REVIN_MSR_DPS_CAL,cofactor_6410,7,42,revin,True,profile,True,False,True,1.25,5.28321698037973
5.107838963285588,6.6784218460873435,6.852455280512655,4.302772969812152,1.8595596595423967,M9_REVIN_MSR,cofactor_6410,14,42,revin,False,stats,True,False,False,1.0,
5.128010244750917,6.700850587860901,6.868542084965143,4.31363862708537,1.8785122304285906,M11_REVIN_MSR_DPS_CAL,cofactor_6410,14,42,revin,True,profile,True,False,True,1.0,5.334569757688494
5.187257794967849,6.787464735862854,6.960645431544419,4.377748245694439,1.86600852441708,M9_REVIN_MSR,cofactor_6410,30,42,revin,False,stats,True,False,False,1.0,
5.10564569731638,6.6850219701073,6.8381716547767315,4.3156079264330325,1.85996586277898,M11_REVIN_MSR_DPS_CAL,cofactor_6410,30,42,revin,True,profile,True,False,True,1.0,5.359110380283737
4.1246816198392775,6.549365237421312,9.342398937576084,5.087701481151855,3.6117375565331535,M9_REVIN_MSR,cofactor_6411,3,42,revin,False,stats,True,False,False,1.0,
4.287420347034041,6.583991443237413,9.829020115671344,4.997035678602936,3.301401370759759,M11_REVIN_MSR_DPS_CAL,cofactor_6411,3,42,revin,True,profile,True,False,True,1.0,4.127023805855977
4.212142667961128,6.699626159844318,9.578663906572142,5.210233797419923,3.644786239107892,M9_REVIN_MSR,cofactor_6411,7,42,revin,False,stats,True,False,False,1.0,
4.472433661448028,7.030718766441585,10.251834560344474,5.425158591178782,3.6812757339146187,M11_REVIN_MSR_DPS_CAL,cofactor_6411,7,42,revin,True,profile,True,False,True,1.0,4.29579651679104
4.17904961213349,6.664631991986312,9.523644576182539,5.19196778573443,3.6494390213207355,M9_REVIN_MSR,cofactor_6411,14,42,revin,False,stats,True,False,False,1.0,
4.1651257459980515,6.490237637175943,9.644536602926241,4.977778768500164,3.4422609342305353,M11_REVIN_MSR_DPS_CAL,cofactor_6411,14,42,revin,True,profile,True,False,True,1.0,4.044586190910163
3.9831663402317825,6.309122811016004,9.15109284425678,4.89312500199331,3.641856245022256,M9_REVIN_MSR,cofactor_6411,30,42,revin,False,stats,True,False,False,1.0,
4.059877332365376,6.370419778195849,9.340067746433455,4.909472652125194,3.469417910751388,M11_REVIN_MSR_DPS_CAL,cofactor_6411,30,42,revin,True,profile,True,False,True,1.0,3.9797248349702374
4.435432171735015,5.991883077442569,7.113723385412789,4.028887119578742,1.9979982440845345,M9_REVIN_MSR,cofactor_6412,3,42,revin,False,stats,True,False,False,1.0,
4.483996219995762,6.026605716902204,7.256740396739649,4.026919325238128,2.0025456372679744,M11_REVIN_MSR_DPS_CAL,cofactor_6412,3,42,revin,True,profile,True,False,True,0.75,4.350177678150559
4.40790792947041,5.950677505116189,7.091178682717171,3.99789969280067,2.0031789888285205,M9_REVIN_MSR,cofactor_6412,7,42,revin,False,stats,True,False,False,1.0,
4.472018136745059,6.010696795722487,7.214357355834446,4.016446509503336,1.9636057309631187,M11_REVIN_MSR_DPS_CAL,cofactor_6412,7,42,revin,True,profile,True,False,True,1.0,4.342421755982468
4.460798829318119,6.043943674523321,7.240978241625544,4.078346919068384,2.043072145508818,M9_REVIN_MSR,cofactor_6412,14,42,revin,False,stats,True,False,False,1.0,
4.420071100146389,5.973035865105483,7.135484464159611,4.01776595190258,1.9848882391572826,M11_REVIN_MSR_DPS_CAL,cofactor_6412,14,42,revin,True,profile,True,False,True,1.25,4.263469744865705
4.432929068760971,6.001953462871895,7.200925049847416,4.0465952234495965,1.993050741255312,M9_REVIN_MSR,cofactor_6412,30,42,revin,False,stats,True,False,False,1.0,
4.393221527960945,5.953143107962089,7.103767090174672,4.017689847566953,1.9758572050381216,M11_REVIN_MSR_DPS_CAL,cofactor_6412,30,42,revin,True,profile,True,False,True,1.25,4.196864513016159
